HITId,short_file_name,vote,condition_num,workerid_hash
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3B19.wav,-2,19,w_4718226090970434892
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M4024.wav,-2,24,w_4718226090970434892
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3412.wav,-2,12,w_4718226090970434892
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F6D29.wav,1,29,w_13232282240959080322
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3B19.wav,1,19,w_13232282240959080322
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F5808.wav,0,8,w_13232282240959080322
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M4024.wav,2,24,w_13232282240959080322
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F7436.wav,0,36,w_13232282240959080322
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M2F07.wav,2,7,w_13232282240959080322
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3412.wav,1,12,w_13232282240959080322
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3614.wav,0,14,w_13232282240959080322
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M2F07.wav,-3,7,w_7474858676079108388
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3B19.wav,-2,19,w_7474858676079108388
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3614.wav,-1,14,w_7474858676079108388
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F5808.wav,-2,8,w_7474858676079108388
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F6D29.wav,-3,29,w_7474858676079108388
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F7436.wav,-3,36,w_7474858676079108388
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M4024.wav,-1,24,w_7474858676079108388
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3412.wav,-2,12,w_7474858676079108388
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F6D29.wav,-2,29,w_1774787757465054657
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F7436.wav,-2,36,w_1774787757465054657
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M2F07.wav,-1,7,w_1774787757465054657
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M4024.wav,-2,24,w_1774787757465054657
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3412.wav,-2,12,w_1774787757465054657
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3614.wav,-2,14,w_1774787757465054657
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3B19.wav,-2,19,w_1774787757465054657
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F5808.wav,-2,8,w_1774787757465054657
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F6D29.wav,-2,29,w_17286802104979932303
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F5808.wav,-2,8,w_17286802104979932303
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M4024.wav,-2,24,w_17286802104979932303
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3412.wav,-3,12,w_17286802104979932303
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3614.wav,-2,14,w_17286802104979932303
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F7436.wav,-2,36,w_17286802104979932303
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M2F07.wav,-2,7,w_17286802104979932303
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3B19.wav,-3,19,w_17286802104979932303
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F6D29.wav,-3,29,w_11120056520064390473
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M2F07.wav,-2,7,w_11120056520064390473
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F7436.wav,-3,36,w_11120056520064390473
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3B19.wav,-2,19,w_11120056520064390473
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M4024.wav,-2,24,w_11120056520064390473
